date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
22-04-1981,0,27,14,20.5,2.68,93,70,3.59
23-04-1981,2.91,26,14,20,2.93,100,70,1.42
24-04-1981,24.78,22,15,18.5,1.86,100,78,0.34
25-04-1981,0,23,15,19,1.94,82,75,1.35
26-04-1981,0,21,13,17,2,87,76,2.3
27-04-1981,0,22,16,19,1.62,76,84,1.2
28-04-1981,7.5,22,13,17.5,2.19,100,73,1.6
29-04-1981,0,22,16,19,1.13,76,83,2.07
30-04-1981,11.29,22,15,18.5,2.09,100,79,1.76
01-05-1981,0,23,17,20,1.27,74,83,3.3
02-05-1981,0,25,18,21.5,1.61,75,79,3.47
03-05-1981,34.88,24,17,20.5,1.39,100,79,3.08
04-05-1981,19.17,23,15,19,2.37,100,76,3.52
05-05-1981,8.54,23,16,19.5,2.13,100,79,4.32
06-05-1981,0.33,23,15,19,2.21,100,76,4.71
07-05-1981,20.42,20,15,17.5,1.52,100,84,2.44
08-05-1981,0,25,17,21,2.1,79,76,4.64
09-05-1981,0,25,18,21.5,2.1,75,78,2.09
10-05-1981,0,26,16,21,2.66,83,73,2.92
11-05-1981,0,24,16,20,1.99,81,75,2.44
12-05-1981,51.92,20,17,18.5,1.32,100,89,1
13-05-1981,0,24,18,21,1.2,72,83,0.6
14-05-1981,19.03,22,20,21,0.43,100,97,2.87
15-05-1981,0,24,18,21,1.93,74,81,3.04
16-05-1981,0,23,16,19.5,2.34,80,77,5.02
17-05-1981,8.68,21,16,18.5,0.92,100,88,2.07
18-05-1981,3.4,21,16,18.5,1.6,100,83,3.79
19-05-1981,1.17,24,17,20.5,2.02,100,78,2.26
20-05-1981,2.29,21,15,18,2.39,100,79,3.34
21-05-1981,0,25,17,21,2.58,79,76,3.64
22-05-1981,3.82,24,17,20.5,1.88,100,80,2.91
23-05-1981,2.88,22,18,20,1.17,100,89,3.38
24-05-1981,0,22,16,19,1.73,78,81,1.5
25-05-1981,0.33,21,16,18.5,1.7,100,87,3.71
26-05-1981,43.71,18,17,17.5,0.24,100,100,4.04
27-05-1981,15.6,22,17,19.5,1.55,100,85,3.39
28-05-1981,6.88,22,14,18,2.53,100,78,2.35
29-05-1981,1.92,24,15,19.5,2.7,100,73,1.99
30-05-1981,16.18,28,14,21,3.6,100,69,1.96
31-05-1981,0,26,11,18.5,3.83,100,67,1.71
01-06-1981,4.69,23,13,18,3.15,100,73,3.43
02-06-1981,33.84,22,12,17,3,100,72,5.76
03-06-1981,25.29,21,15,18,2.04,100,82,3.44
04-06-1981,25.52,19,16,17.5,1.28,100,96,5.39
05-06-1981,35.62,19,15,17,1.21,100,91,6.14
06-06-1981,5.56,22,15,18.5,1.89,100,79,6.27
