YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
522.52,15.50666667,29.46333333,90.55333333,59.62,168,13,7.933333333,90,1.368309,17.594,17.77606574,0.788396944,113.619883,1.053847993,130.6628655,134.4,25.97416667,18.99583333
609.75,20.11666667,30.20666667,96.40333333,64.61,599.2,39,6.073333333,91,1.433892,16.21175556,16.41680926,0.780621111,117.1712372,1.640098031,134.7469227,479.2,27.68416667,22.63916667
670.16,21.33666667,25.45666667,95.23333333,83.94333333,2285.53,86,2.953333333,40,1.380699,19.96232963,20.17390741,0.880695167,83.66588151,4.23197908,96.21576373,1828,24.42666667,22.36666667
614.1,19.98333333,26.43333333,93.69,78.43,985.2,47,5.143333333,75,1.368007125,20.32882815,20.54063704,0.901329806,95.29303919,3.207912112,109.5869951,788.8,24.82083333,21.59583333
568.81,12.61333333,29.43333333,87.97666667,66.46,64.3,3,7.703333333,90,1.34118765,16.94098963,17.1462,0.805434167,112.774397,0.780753972,129.6905565,51.2,25.22833333,16.81833333
610.68,16.54333333,28.16,83.94666667,79.93666667,232.3,27,6.753333333,89,1.279803375,12.61786333,12.79980093,0.771378333,122.5109364,1.46287162,140.8875769,185.6,25.25583333,19.4475
660.05,18.42,21.64,95.13333333,93.32666667,1439.4,80,3.386666667,35,1.34204775,16.52380222,16.71938704,0.9318975,79.35377753,4.557051478,91.25684416,1152,20.835,19.225
619.21,17.53,25.05333333,83.30666667,83.45,967.5,49,5.496666667,79,1.238855625,17.48968259,17.69691667,0.894638333,98.61900389,2.64611945,113.4118545,773.6,23.1725,19.41083333
655.76,12.46,27.55666667,71.77,58.16,48.4,6,8.256666667,88,1.12946175,14.94455778,15.11484444,0.707138611,113.2855452,0.75082066,130.278377,39.2,23.7825,16.23416667
755.49,17.86333333,28.39666667,87.12333333,69.05666667,582.5,39,7.283333333,82,1.304401125,13.54656556,13.71165648,0.719041944,126.2274658,1.54137353,145.1615857,465.6,25.76333333,20.49666667
696.82,18.74,21.24,93.41666667,87.4,1988.5,86,3.36,36,1.315903125,17.61763074,17.81394444,0.880774444,80.68431253,4.739367849,92.78695941,1591.2,20.615,19.365
673.57,14.67,21.87666667,79.27,82.22666667,535.4,42,5.83,82,1.154710875,16.71363556,16.91297407,0.855305,96.02992348,2.627272333,110.434412,428,20.075,16.47166667
761.96,11.85537634,23.98956989,73.44100712,60.31068023,54.9,10,8.163333333,90,1.105166519,12.78299583,12.9481543,0.714117812,103.1630634,0.944906321,118.6375229,44,20.95602151,14.88892473
802.33,14.82457757,26.81047107,93.66866359,64.00711726,215.3,48,5.803333333,70,1.357132628,11.77651082,11.95818149,0.734348558,106.65844,1.248866336,122.657206,172,23.8139977,17.82105095
689.61,18.44987593,22.56431701,98.03763441,87.97011064,3028.8,72,4.13,45,1.383101905,15.94198405,16.15419107,0.910008588,84.71325539,3.977360436,97.42024369,2423.2,21.53570674,19.4784862
646.23,17.40575585,22.09481123,97.83297491,82.75232975,463.2,28,5.72,87,1.366349757,17.1631273,17.38636688,0.935200009,85.93347604,3.939143827,98.82349745,371.2,20.92254738,18.5780197
654.94,12.81239119,26.31591981,91.49731183,55.47542243,37.3,1,8.893333333,90,1.335448637,15.26834921,15.48445198,0.809188919,108.6136888,1.119545774,124.9057421,30.4,22.94003765,16.18827335
618.48,14.97058372,30.73786482,91.54559652,36.98410138,382.6,55,5.706666667,42,1.370644431,12.72349647,12.92431327,0.646903603,119.1104437,0.715324811,136.9770102,305.6,26.79604455,18.91240399
