Season	YPH	YPH	Tmax	Tmin	RH830	RH1430	RF	Rday	S	Sday	W	S830	S1430	Sm	ETo	clud	Kc	erf	Tphoto	Tnicto
JJA-1991	627	659	22.5	15.5	91	91	372	35	2.84	71	1.88	20.33	20.45	0.850	82.86	2.82	95.29	297.20	20.71	17.21
SON-1991	712	589	21.9	13.7	86	91	976	42	4.36	83	1.92	18.83	18.97	0.901	88.39	2.22	101.65	780.40	19.86	15.77
DJF-1992	382	450	21.3	10.5	84	75	68	4	7.36	84	1.59	16.95	17.08	0.871	92.32	1.24	106.17	54.72	18.61	13.21
MAM-1992	442	413	26.5	14.5	65	46	199	13	7.94	88	1.13	17.66	17.74	0.667	130.20	0.98	149.73	159.44	23.47	17.48
JJA-1992	624	587	22.7	15.5	87	86	226	25	3.10	72	1.76	20.08	20.16	0.700	87.60	2.64	100.74	181.12	20.88	17.28
SON-1992	588	501	22.1	13.9	86	81	1218	41	3.21	79	1.88	19.01	19.13	0.843	81.63	2.12	93.88	974.08	20.02	15.94
DJF-1993	344	418	21.1	10.5	66	64	65	7	7.16	83	1.31	16.93	17.04	0.795	96.08	1.19	110.49	52.08	18.46	13.14
MAM-1993	521	450	24.8	15.5	76	57	165	10	7.75	88	1.35	17.45	17.52	0.647	125.92	1.56	144.81	132.24	22.45	17.81
JJA-1993	576	574	21.9	16.0	83	78	287	25	3.49	74	1.66	19.97	20.05	0.712	90.76	3.21	104.38	229.76	20.44	17.50
SON-1993	612	538	20.5	14.7	88	88	1403	43	3.65	81	1.99	18.67	18.79	0.834	78.89	3.20	90.72	1122.56	19.05	16.12
DJF-1994	513	590	20.3	12.2	80	76	404	19	5.63	77	1.63	16.96	17.07	0.867	85.02	1.98	97.77	323.04	18.31	14.24
MAM-1994	852	685	24.1	15.5	74	60	279	18	6.88	85	1.38	17.61	17.70	0.720	118.04	1.70	135.74	222.80	21.94	17.62
JJA-1994	506	584	23.3	16.2	83	77	155	21	2.16	69	1.62	20.20	20.29	0.741	86.33	2.69	99.28	123.68	21.49	17.95
SON-1994	604	518	20.5	14.5	87	81	1219	47	4.37	84	1.88	19.03	19.14	0.801	84.56	3.04	97.24	975.28	19.01	16.00
DJF-1995	492	583	20.5	11.3	74	74	259	13	6.05	78	1.53	16.59	16.70	0.822	89.10	1.49	102.47	206.80	18.22	13.59
MAM-1995	900	743	24.3	15.3	83	61	441	20	6.80	84	1.51	17.48	17.56	0.735	116.26	1.67	133.70	353.04	22.03	17.57
JJA-1995	687	742	22.0	16.0	83	80	310	31	2.70	71	1.67	19.76	19.84	0.755	86.37	3.09	99.33	247.84	20.52	17.48
SON-1995	766	647	21.3	14.6	87	85	451	34	4.73	85	1.80	18.78	18.90	0.839	87.79	2.77	100.96	360.72	19.66	16.31
DJF-1996	449	574	21.0	10.7	75	67	116	6	7.67	85	1.44	17.07	17.19	0.808	96.77	1.19	111.29	92.40	18.46	13.30
MAM-1996	839	673	25.5	15.1	74	60	291	19	6.19	82	1.38	17.49	17.57	0.686	117.62	1.26	135.26	232.64	22.94	17.71
JJA-1996	566	642	22.1	15.5	84	77	242	29	5.10	80	1.65	19.95	20.04	0.736	100.71	2.91	115.81	193.76	20.46	17.17
SON-1996	723	591	20.9	14.1	89	83	861	42	3.68	81	1.86	18.63	18.74	0.825	79.52	2.87	91.44	688.56	19.18	15.81
DJF-1997	431	531	21.5	10.1	81	68	673	15	6.26	79	1.59	16.81	16.91	0.823	90.40	1.00	103.96	538.24	18.66	12.92
MAM-1997	703	607	22.8	13.4	74	73	278	14	7.23	86	1.51	16.75	16.83	0.721	117.73	1.61	135.39	222.72	20.48	15.76
JJA-1997	733	745	21.9	15.1	89	83	270	26	2.45	70	1.76	18.29	18.41	0.815	79.66	2.76	91.60	215.68	20.20	16.80
SON-1997	781	684	22.9	13.6	91	79	1341	48	3.97	82	1.93	18.54	18.64	0.829	83.98	1.51	96.58	1073.04	20.54	15.89
DJF-1998	571	632	21.2	12.2	88	88	343	22	5.39	76	1.81	17.76	17.88	0.892	81.90	1.73	94.18	274.00	18.94	14.47
MAM-1998	662	588	24.4	15.7	81	75	95	13	7.99	89	1.56	17.93	18.05	0.843	125.27	1.78	144.06	75.76	22.20	17.85
JJA-1998	640	669	22.4	15.8	83	79	367	34	3.51	74	1.68	19.98	20.08	0.780	92.20	2.81	106.03	293.68	20.78	17.47
SON-1998	734	623	21.3	14.4	87	83	472	32	4.02	82	1.77	18.76	18.87	0.830	83.67	2.67	96.22	377.20	19.54	16.11
DJF-1999	483	570	20.2	11.4	74	76	934	16	7.33	84	1.66	16.96	17.08	0.843	94.16	1.73	108.28	746.80	17.97	13.58
MAM-1999	682	561	24.1	14.9	69	65	172	20	8.10	89	1.37	17.26	17.36	0.697	128.72	1.50	148.03	137.84	21.81	17.23
JJA-1999	497	564	22.2	14.9	82	82	157	15	4.53	78	1.66	19.22	19.33	0.734	97.63	2.34	112.28	125.28	20.38	16.73
SON-1999	666	562	21.0	13.8	85	81	1141	41	4.77	84	1.85	18.44	18.55	0.826	88.01	2.47	101.21	912.88	19.18	15.62
DJF-2000	556	623	19.7	11.7	87	82	442	21	6.50	80	1.77	16.54	16.65	0.858	82.94	2.09	95.38	353.20	17.68	13.69
MAM-2000	820	650	24.0	15.0	73	65	188	13	8.40	91	1.41	17.17	17.27	0.784	129.67	1.58	149.12	150.00	21.72	17.22
JJA-2000	387	531	22.0	14.9	81	76	225	16	4.40	78	1.59	19.27	19.37	0.733	97.51	2.51	112.13	180.32	20.23	16.70
SON-2000	753	598	20.8	13.9	87	87	802	32	4.57	84	1.87	18.33	18.44	0.813	85.19	2.58	97.97	641.92	19.10	15.63
DJF-2001	502	588	20.8	11.5	77	76	216	13	8.00	87	1.57	16.74	16.86	0.845	97.19	1.47	111.77	172.64	18.50	13.83
MAM-2001	728	597	24.4	15.1	75	66	394	13	8.13	91	1.47	17.56	17.66	0.743	128.16	1.47	147.39	315.52	22.07	17.40
JJA-2001	474	549	21.9	15.1	81	78	225	15	4.53	81	1.63	19.47	19.57	0.744	98.23	2.68	112.96	180.32	20.19	16.78
SON-2001	626	524	21.1	14.2	88	85	819	32	4.37	82	1.87	18.45	18.56	0.817	84.23	2.70	96.86	654.96	19.35	15.92
DJF-2002	474	530	19.8	11.3	81	82	434	13	6.70	77	1.70	16.71	16.83	0.865	87.95	1.91	101.14	347.20	17.64	13.39
MAM-2002	630	530	24.3	14.8	75	63	207	13	8.60	91	1.41	17.04	17.15	0.759	130.15	1.48	149.68	165.20	21.93	17.20
JJA-2002	506	534	22.6	15.0	80	76	154	20	5.00	81	1.59	19.47	19.56	0.733	102.73	2.27	118.13	122.88	20.73	16.91
