YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
171,20.1,28.2,82,88,245,18,6.93,29,1.26,122.0531593,2.250698739
210,20.6,28.3,85,88,391,16,4.97,31,1.3,106.6796087,2.55354495
187,18.4,28,82,82,302,12,5.6,27,1.26,100.7397971,1.821729734
160,17.8,27.7,78,79,127,10,6.5,30,1.21,105.1498752,1.779238562
114,13.1,29.2,97,51,0,0,8.58,31,1.43,115.8955848,0.690892719
91,15.6,31.6,97,49,41,3,8.72,29,1.46,119.814189,0.691412699
113,18.6,30.8,97,60,161,11,7.24,31,1.45,127.5654277,1.020472516
218,20,30,96,66,376,21,5.46,29,1.43,110.7830314,1.58042682
323,21.7,29.8,97,67,62,7,5.52,31,1.42,113.1652524,2.319394756
238,21.4,26.4,96,81,520,28,2.96,17,1.39,83.25207267,3.877213531
170,21.3,24.9,95,85,962,29,3.19,7,1.37,85.09514207,4.44751914
176,21.3,25.1,95,86,803,29,2.71,16,1.38,82.65042978,4.371204569
206,21.3,25.6,96,87,811,28,3.79,18,1.39,86.90971089,4.196183681
235,20.7,27.1,94,79,156,14,5.71,31,1.37,103.9997993,3.235026448
233,18,26.6,92,70,19,5,5.93,26,1.34,94.96960738,2.192526206
203,15.2,27.4,95,65,64,3,6.84,31,1.39,98.10603947,0.987178263
122,14,29.5,93,76,0,0,7.16,31,1.4,111.2083841,0.693560521
91,8.7,31.4,76,58,0,0,9.11,28,1.23,129.0087674,0.661523133
113,13.3,29.4,82,68,21,4,8.37,31,1.27,136.7447462,0.67571575
217,17.1,28.8,78,80,124,10,7.57,30,1.22,130.6211339,0.983535691
324,19.2,26.3,92,92,87,13,4.32,28,1.35,100.1669291,2.729363419
241,18.1,21.1,95,94,745,29,3.21,7,1.33,76.18038548,4.636744921
173,18.5,22,96,96,141,27,4.42,13,1.36,85.84661824,4.465178641
174,18.7,21.9,94,91,554,24,2.53,15,1.34,76.03432886,4.569230873
203,18.3,24.1,90,86,555,19,5.08,24,1.31,95.31701985,3.433685186
235,18.5,24.9,86,92,268,22,4.48,27,1.27,94.42388122,3.170921658
233,15.8,26.2,73,72,144,8,6.93,28,1.13,106.1161106,1.333751507
209,13.7,26.2,67,65,37,4,7.13,31,1.06,105.8892653,0.90413392
165,11,27.2,86,60,12,2,8.03,29,1.29,110.6229902,0.676569309
141,12.7,29.3,63,49,0,0,9.61,28,1.05,123.3443801,0.671758751
225,15.7,29.6,84,60,70,9,9.03,31,1.28,141.2999095,0.753522861
320,18.8,29.1,90,74,52,7,7.58,30,1.34,127.9256531,1.35818527
309,19.1,26.5,88,73,460,23,5.24,21,1.29,109.4568348,2.51241246
241,19.2,22.2,92,84,580,30,2.29,12,1.31,74.83805553,4.611169488
178,18.6,20.9,95,87,757,29,3.14,11,1.33,77.83249954,4.793206551
142,18.5,20.7,93,92,652,27,4.65,13,1.32,89.38238251,4.813727509
214,16.5,22.8,82,79,107,11,6.19,27,1.19,104.4264755,3.014507905
312,14.9,21.4,78,88,301,19,5.09,29,1.13,94.73168067,2.985257315
215,12.6,21.4,78,79,127,12,6.21,26,1.14,88.93161427,1.88205178
236,11.3,23,64,70,17,3,7.51,31,0.99,96.91474355,0.987998708
219,13.7,26.2,67,65,28,1,8.5,28,1.05,114.6346378,0.902487339
172,10.5,22.8,90,46,10,6,8.48,31,1.27,97.93980874,0.944232917
227,10.9,27,93,48,42,12,6.97,30,1.35,115.7804547,0.674515041
299,15.6,27.1,94,69,96,6,6.55,31,1.36,111.0680397,1.025373761
343,17.9,26.3,94,76,77,30,3.89,9,1.36,93.12682566,2.046710207
220,18.8,26.4,98,78,1273,29,3.5,6,1.41,85.20049743,2.372628138
197,18.8,21,98,93,1203,29,3.22,9,1.36,77.85142817,4.826396979
145,17.7,20.3,99,93,553,14,5.67,30,1.37,91.08784056,4.73305619
203,17.6,20.6,99,87,106,19,3.73,28,1.37,74.56326765,4.627557052
314,17.5,23.4,98,82,276,8,5.98,28,1.37,92.95645991,3.389102896
214,17.1,22.3,97,79,82,1,7.45,31,1.36,90.28070057,3.800771533
219,14.9,23.7,91,71,2,0,8.15,31,1.3,97.11230593,1.978532332
179,11.8,26.2,98,60,0,1,8.62,28,1.41,105.9947207,0.71529388
128,11.7,29.1,86,35,36,0,9.91,31,1.3,122.7340398,0.664811109
128,13.8,30.1,93,39,0,12,8.08,7,1.39,134.0688087,0.67066535
173,13.3,31.8,88,24,114,17,6.78,20,1.34,131.3003361,0.662041056
343,17.8,30.3,94,48,268,26,2.26,15,1.38,91.96218622,0.813268028
273,18.6,27.1,98,63,1275,31,0.64,8,1.41,67.50609196,1.893651862
155,19,24.2,97,74,1471,30,2.34,12,1.39,76.85970287,3.671481754
128,18.7,22.4,100,78,698,26,3.08,8,1.4,77.12516821,4.364226159
141,18.9,22.5,98,79,587,17,3.3,25,1.38,76.05715416,4.402464233
224,18.8,24.3,96,72,266,16,4.67,19,1.37,88.58632122,3.538935669
198,16.7,23.7,95,66,252,1,3.81,30,1.35,73.88148401,2.781597825
199,17.2,24,84,54,1,0,7.79,31,1.23,100.3592138,2.965451929
145,12.8,25.2,97,51,0,4,7.98,28,1.39,99.91126096,0.884684981
136,15.9,26.2,94,56,43,13,6.68,31,1.37,94.27477829,1.42090446
242,13.4,27.3,93,44,57,14,7.21,30,1.35,119.6472639,0.741160191
306,15.1,28.1,99,51,96,18,5.72,29,1.43,106.170666,0.785839791
302,17.6,28.3,95,62,171,30,3.28,18,1.38,92.76645351,1.11503378
