YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
261,19.2,27.7,98,65,650,31,1.89,9,1.41,76.74928668,1.846188806
173,19.3,22.5,98,81,1206,30,3.47,20,1.38,81.66323096,4.525332588
135,18.7,21.6,98,85,835,22,5.22,28,1.37,92.01921685,4.616272845
229,17.7,21.5,99,80,169,25,3.69,25,1.38,76.43526984,4.279892379
241,16.7,23.6,100,67,582,15,5.04,24,1.39,85.70453766,2.665410767
223,17.7,23.3,99,73,205,8,5.18,27,1.39,78.21110743,3.484649094
241,15.9,23.2,97,65,135,2,7.43,29,1.36,89.88974395,2.627341934
206,13.8,23.7,99,59,23,8,7.07,27,1.39,90.4165486,1.474010976
229,12,24.9,98,48,66,1,8.85,31,1.38,101.4717195,0.805556547
241,13.8,25.8,98,49,19,16,5.73,30,1.4,101.9871388,0.926585281
297,12.1,28,99,36,174,19,5.46,29,1.41,107.1758728,0.669698764
356,15.9,25,99,60,297,29,1.13,8,1.39,69.09346266,1.699300082
195,16.9,24.4,100,67,1087,31,0.68,7,1.41,61.5115444,2.415943938
116,17.5,20.8,96,82,1695,26,1.6,13,1.35,66.96647001,4.516848925
114,17.5,20.8,95,81,606,19,4.21,24,1.33,84.43818677,4.511177697
182,17.4,21.6,94,75,310,25,4.42,28,1.32,84.01473409,4.150590829
236,16.5,23.4,97,72,486,12,5.14,28,1.37,88.88580048,2.784324301
209,14.5,22.4,98,78,139,0,8.07,31,1.38,91.60431859,2.350430358
206,15,24.8,98,69,0,0,6.8,31,1.39,89.81043158,1.582445947
172,9.1,24.4,96,49,0,1,7.9,28,1.36,101.2831285,0.692465936
138,9,22.9,93,50,10,4,7.6,31,1.31,91.80363414,0.763874593
166,10.9,26.2,97,49,59,12,6.1,30,1.39,105.7351673,0.696436646
277,13.5,28.8,99,45,280,14,4.2,25,1.43,98.90296429,0.692029082
342,16.5,26.4,100,70,228,21,1.1,14,1.42,71.10244994,1.544459077
276,18,24.5,99,75,744,24,1,7,1.4,63.70917226,3.146597715
192,18.5,23,100,88,903,26,2.1,18,1.41,70.25809574,4.093528524
164,18.4,22,98,88,920,12,4.4,19,1.38,85.88965431,4.460668406
190,19.1,23.6,90,76,334,13,5.3,29,1.3,98.40428355,4.102513695
286,14.3,21.1,88,67,220,11,4.7,26,1.23,86.26603898,2.976577768
228,16,24.4,99,68,111,0,8.1,31,1.4,95.56088677,2.248884225
183,14.8,24,100,70,0,1,8.8,31,1.41,97.39484962,1.977797496
159,10.7,25.5,97,50,10,1,8,29,1.39,102.6081036,0.730056492
126,10.3,26.3,97,46,5,2,8,31,1.4,102.0680968,0.690153361
132,11,28,98,45,67,13,6.8,30,1.43,117.32233,0.673309504
246,12.6,29.4,99,41,243,8,6.4,30,1.43,116.0406314,0.672742469
382,19,27.5,87,66,115,16,2.9,17,1.28,93.05936201,2.247695719
261,17.8,26.5,85,62,575,27,1.4,9,1.25,80.02156454,2.045760694
210,18.4,23.5,90,71,1003,25,1.4,13,1.29,74.4359704,3.856665609
161,18,21.6,93,81,352,23,2.3,18,1.31,75.67210373,4.474064074
179,18.2,21.5,94,89,464,17,4.3,20,1.33,83.61099352,4.575625311
219,17.8,23,94,87,172,5,5.3,28,1.34,91.41852779,3.84152863
231,13.2,24.2,87,68,70,4,5.9,26,1.26,90.40584178,1.223981426
237,15.7,23.4,87,76,119,2,7.78,31,1.26,96.72720718,2.70631239
176,12.3,23.3,89,64,15,1,8.3,28,1.27,101.2226512,1.349001459
197,8.7,25.6,85,67,3,4,7.35,31,1.26,100.8284198,0.674398676
222,11.1,27.5,83,53,65,9,6.57,29,1.25,118.4901867,0.681286903
325,13.5,28.8,81,53,116,10,5.24,30,1.23,113.5644884,0.699650968
383,15.8,27.1,84,89,86,19,4.29,21,1.26,103.8520308,1.135706382
312,17.3,26.9,84,74,374,31,0.45,6,1.25,74.37260752,1.607571083
210,17,25.3,84,74,897,27,2.08,13,1.25,85.62658296,2.097654893
165,18.8,21.3,95,90,706,16,4.8,27,1.34,90.73527161,4.77416405
228,18.3,21.9,93,87,280,22,4.66,29,1.32,87.03435649,4.451383947
283,17.6,24.5,91,84,356,22,4.49,27,1.31,89.82702491,2.863568442
254,17.1,25.2,88,75,324,10,5.34,28,1.28,89.04971536,2.327406964
241,16.8,24.8,91,82,225,2,8.06,31,1.32,100.2258726,2.492729547
191,14.5,25.5,89,76,13,0,8.33,28,1.31,107.3062916,1.316139497
202,11.9,26.4,79,58,0,3,8.45,31,1.19,109.8163745,0.734938036
221,13.7,27.4,75,52,35,6,7.2,30,1.16,125.0668078,0.790245762
292,13.6,28.9,80,58,65,7,5.11,28,1.22,113.2192296,0.693989431
310,16.8,28.8,81,64,116,25,1.55,17,1.23,90.00944828,0.949014826
226,18.8,27.4,85,77,810,28,1.29,10,1.28,80.54895708,2.0083387
188,18.7,23.7,91,85,984,26,2.1,17,1.32,79.08978193,3.863231265
157,18.1,22.1,95,90,587,25,2.04,14,1.35,73.06407148,4.293192508
246,18,23,95,86,519,19,3.31,21,1.35,79.07751766,3.853829991
244,17.9,22.9,94,86,517,11,5.35,27,1.33,91.16803184,3.881328944
248,17.4,22.9,92,86,184,9,5.03,26,1.31,80.78130057,3.708134242
275,15.3,24.6,87,76,75,0,7.98,31,1.27,100.2974287,1.851852809
210,15,24.2,87,80,1,3,7.3,27,1.27,99.58316225,1.966243926
248,9.7,25.9,81,63,28,1,8.63,31,1.22,110.4458818,0.679216245
301,9.3,25.5,80,66,15,9,4.8,28,1.18,103.7054013,0.680589879
290,12.6,28.7,78,60,201,19,3.36,19,1.2,101.1625081,0.679324658
320,17.3,26.6,85,72,567,19,3.1,15,1.26,94.36492307,1.850976098
211,17.6,24.1,91,82,536,27,0.69,7,1.31,67.41292978,3.202436083
185,17.2,23,91,83,1057,25,3.3,23,1.3,84.33853006,3.518293588
194,17.5,21.7,95,91,555,13,5.04,30,1.34,91.48572727,4.252788099
189,17.3,23,94,87,215,25,3.14,26,1.34,78.08198694,3.577319693
263,16.4,24.9,89,80,603,6,6.04,26,1.29,101.8386848,2.192242309
226,16.9,24.1,93,88,75,2,7.56,31,1.34,96.70600052,2.949309983
196,13.9,25.8,86,78,6,3,8.07,31,1.28,104.6177137,1.113853193
191,12.3,25.9,85,73,81,3,6.28,29,1.27,98.93104159,0.859952762
185,11.3,26.6,89,79,104,1,8.13,31,1.32,106.1439485,0.730997179
233,13.6,26.6,89,76,14,9,6.25,29,1.32,112.1414638,0.975405002
274,13.5,28.3,87,66,90,14,6.57,30,1.3,118.9342101,0.754913673
320,16.6,27.6,89,75,319,26,1.43,15,1.31,82.88944195,1.369796902
198,16.5,26.9,86,77,817,20,3.1,18,1.29,91.27099515,1.491144789
118,17.4,23.3,93,88,448,30,1.04,9,1.34,69.37960401,3.588351152
172,16.8,23.1,92,84,1122,17,4.13,27,1.32,90.14082944,3.379731748
194,17.1,22.7,95,90,453,11,5.16,26,1.35,89.94346196,3.742278472
242,16.8,24.6,92,85,106,5,6.09,26,1.33,99.85055433,2.696712917
179,15.7,25,88,80,44,3,8.07,29,1.3,103.6091257,2.069164623
176,13.8,26.3,87,75,44,2,6.39,30,1.3,97.41413588,1.073420575
198,10.5,26.2,84,65,27,2,8.4,28,1.26,110.924092,0.723993014
142,12.3,26.8,86,61,25,6,6.52,31,1.28,98.81563432,0.823394828
186,10.9,28.1,87,62,85,14,4.59,27,1.31,108.5582507,0.683868391
280,13.4,28.1,88,68,326,11,6.35,29,1.32,116.5100507,0.7781003
249,16.4,27,93,83,221,27,1.04,11,1.37,76.61192427,1.56531213
219,16.3,26.7,89,80,864,27,1.28,14,1.32,77.82555576,1.564540336
180,17.2,22.5,94,88,1006,25,1.41,20,1.34,69.72583664,3.929036202
135,17.2,22.4,94,88,425,15,4.47,26,1.35,89.77154607,3.951158548
201,16.6,22.3,94,88,353,16,3.46,27,1.33,79.24226602,3.710446304
270,14.9,25,91,84,294,10,5.3,27,1.32,95.99425716,1.663320909
229,16.5,24.5,91,84,286,3,6.59,31,1.32,92.24520172,2.722629404
237,16.1,25.5,89,81,21,0,7.45,31,1.31,99.34203193,2.152371931
195,12.4,26.7,85,68,0,2,7.15,25,1.28,106.1489419,0.840907755
178,11.5,26.7,86,65,10,3,7.58,31,1.29,104.9574302,0.767740756
261,11.4,27.6,85,57,91,3,7.34,30,1.27,124.701861,0.709700987
313,12.6,27.5,85,53,17,14,5,27,1.26,107.5109938,0.764367726
303,14.5,28,89,76,255,19,2.05,18,1.32,89.03614441,0.872286649
243,16.4,27,89,82,456,21,2.21,19,1.32,83.22461644,1.482375212
191,18.8,23.9,93,86,344,26,2.1,16,1.33,76.77224651,4.000186898
195,18.5,23.4,92,85,826,7,6.55,29,1.33,108.1319422,4.07482624
203,18,22,92,90,168,18,3.42,26,1.31,80.7873036,4.417277497
237,14.6,25.4,88,78,378,8,5.13,26,1.29,97.25680085,1.432762714
249,18.2,24.8,92,88,118,2,7.33,30,1.33,96.64740556,3.430263979
212,17.8,25.8,89,82,14,1,8.13,31,1.32,104.8729189,2.845888418
176,12.2,27.1,86,67,14,3,7.33,28,1.29,108.9285979,0.785123937
139,9.4,27.4,86,67,78,5,8.04,31,1.29,109.5656677,0.673986971
152,12.2,28.2,86,63,123,6,6.38,30,1.3,119.1276545,0.718142998
272,13.2,28.8,87,68,56,10,5.18,29,1.31,111.5944669,0.72260117
259,16.1,28,89,80,129,20,3.48,21,1.33,97.79207151,1.161425704
161,18.1,27.2,87,81,464,28,1.19,14,1.31,78.12210342,2.080466183
179,17.1,25.4,91,82,622,22,3.05,20,1.33,88.01126015,2.398385343
141,18.3,22.9,94,89,546,11,5.01,27,1.34,94.79270214,4.17531965
210,18,23.9,93,86,180,23,4.1,25,1.34,87.32917083,3.586492985
227,16.2,25,87,81,658,13,4.5,28,1.28,93.82801362,2.207305963
219,16.5,24.9,90,86,38,0,8.1,31,1.31,102.4082535,2.497888003
211,15.5,26.1,87,77,0,1,8.2,31,1.29,106.1323606,1.656659043
173,11.1,26.7,85,65,7,1,8.37,29,1.28,112.6295868,0.729705579
181,10.7,27.6,87,60,7,4,8.22,31,1.3,110.3196063,0.689108738
231,10.9,28.5,88,50,141,12,8.22,30,1.31,132.5122942,0.677846652
297,13.3,27.2,87,47,326,23,2.5,20,1.27,88.69430877,0.856009126
310,17.8,28,89,78,939,24,2.02,16,1.32,87.10303612,1.683566517
244,18.2,24.7,91,85,1804,30,1.3,13,1.32,72.4071297,3.35343245
106,17.9,23.4,93,88,1094,18,2.48,19,1.35,78.42971317,3.778172237
114,18.3,22.6,94,90,1376,20,4.3,26,1.35,89.41701346,4.275337018
177,17.8,23,94,83,495,13,4.31,26,1.34,86.00899364,3.891884023
223,17.3,24.8,91,85,398,10,5.31,26,1.32,95.93293258,2.76024007
216,16.5,25.5,87,81,294,0,7.4,29,1.29,101.7230533,2.110577774
183,15.6,25.6,88,81,1,3,8.21,31,1.31,104.6981305,1.793125472
221,10.8,26.9,83,65,19,1,8.49,28,1.25,114.0173639,0.697289553
181,11.5,27.4,86,67,42,7,7.2,31,1.29,104.5033112,0.705981588
233,10.9,28.3,82,56,78,17,6.08,26,1.25,119.5266245,0.673123963
310,14.2,28.5,86,60,285,9,5.47,30,1.28,112.1121315,0.772753219
255,17.1,27,91,78,173,26,1.38,14,1.34,79.62714311,1.689993163
217,17.5,27.2,88,80,629,30,0.36,8,1.31,72.36225585,1.676780202
