YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
146,26.5,19.5,88,72,253,9,7.73,29,1.94,105.3258276,2.734685009
134,26.5,18.5,90,71,115,7,8.75,31,1.87,106.4812802,2.277562134
149,28.5,16.5,86,52,0,0,9.58,31,1.55,120.4529527,0.914107286
185,30.5,19.5,86,59,17,1,9.48,29,1.64,124.8780602,1.152389022
164,30.5,20,90,64,103,5,8.85,31,1.78,142.2170507,1.277298688
147,30.5,21,90,70,143,12,8.57,30,1.87,139.4172829,1.603388911
202,30.5,22,84,69,62,6,9.18,30,1.75,153.7344694,2.010729507
216,25.5,20.5,91,81,444,24,6.33,27,2.18,106.9200314,3.850682009
227,24.5,20,95,82,707,26,4.38,24,2.38,88.82069062,4.075324877
205,25,20,95,85,548,23,5.56,26,2.33,98.53971533,3.855924692
180,25.5,20,94,81,262,23,7.67,29,2.11,110.559177,3.65114503
202,27,20,93,75,91,10,8.94,31,1.94,121.846281,2.927423104
181,27.5,19.5,85,64,14,2,9.5,31,1.68,119.3181278,2.506734164
169,28.5,18,83,61,5,1,9.55,31,1.62,121.2813775,1.464489632
153,30,14,88,53,0,0,9.56,31,1.58,126.1191363,0.687155825
175,33,15,82,49,0,0,9.56,28,1.47,133.9064642,0.665966262
156,32,17,90,58,27,4,9.38,31,1.67,151.2805128,0.723570079
150,32,19,89,65,116,9,8.74,30,1.79,147.0376909,0.887459192
159,31,19,90,72,99,13,8.87,30,1.87,148.7508795,1.040987846
183,26,19,96,82,520,27,5.75,27,2.29,98.28625567,3.055375055
176,26,19,95,83,827,19,3.48,22,2.46,86.82197008,3.057698987
193,26,19,93,83,343,19,7.06,29,2.17,113.8093044,3.069293149
187,27,19,96,84,254,15,7.72,29,2.16,113.4639728,2.633260051
210,27,19,95,85,167,14,8.37,30,2.11,115.6330583,2.709954589
179,30,18,83,67,71,4,9.07,31,1.72,125.3431315,1.204096884
198,30,17,83,64,3,1,9.56,31,1.65,126.3757124,1.020501093
195,30.2,14.8,80,56,11.7,2,9.48,31,1.53,129.9099418,0.749226755
150,32,15,84,59,1.05,0,9.56,28,1.6,131.0217391,0.688823223
154,32.9,18.2,90,61,6.3,1,9.55,31,1.69,155.2499791,0.784912845
162,32.5,19.8,95,68,14.75,2,9.5,30,1.84,151.0485606,0.999860333
196,30.2,20,98,75,309.7,17,7.32,29,2.11,127.2192844,1.610526759
162,26.6,19.2,97,89,438.6,29,6.36,28,2.34,102.7004952,2.847116427
195,26,19,99,87,438.4,28,6.36,28,2.32,101.3372939,2.980125726
166,25.6,19.3,95,86,612.25,25,5.07,25,2.38,96.60106198,3.290222854
130,27.1,19.7,95,77,50.3,5,9.24,31,1.96,124.897875,2.692577487
129,29.1,19.3,97,76,266,17,7.64,29,2.09,117.1364061,1.544025251
186,27.9,17.9,94,76,77.45,7,9.02,31,1.95,112.227407,1.481129563
219,29.8,15.7,93,63,4.2,1,9.54,31,1.76,119.3453831,0.733688597
224,30.5,17,92,58,1.05,0,9.57,31,1.68,124.9947464,0.785723723
193,32.1,16.9,91,60,0.4,0,9.58,28,1.7,128.8389169,0.691912687
