YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
185,27.4,20.4,94,91,181.98,17,8.27,30,2.18,126.2543247,2.860073674
175,27,20.4,94,89,182.18,17,8.27,30,2.16,118.8232448,3.121389168
207,28.4,21.6,93,67,272.35,7,7.62,29,1.94,117.7383449,3.087391481
199,28,21,91,73,223,13,7.97,30,1.97,108.8510222,3.084685592
186,28.1,19.7,88,74,45.8,6,9.27,31,1.84,116.210169,2.47421514
173,28,19.1,88,81,18.31,1,9.47,31,1.91,119.7647103,2.287881757
150,30.9,17.8,90,87,7.14,1,9.54,28,1.99,125.7434729,0.943502189
154,33,19.4,91,89,14.82,2,9.5,31,2.03,155.7474072,0.861036602
162,32.2,22.6,90,82,105.9,12,8.86,30,1.99,148.7922537,1.898967758
229,30.2,21.5,88,78,98.4,11,8.9,30,1.91,148.2807669,2.271158744
214,26.3,20.8,88,82,426.9,22,6.46,28,2.15,112.7973793,3.802817045
199,24.3,20.2,90,86,706.07,26,4.39,24,2.37,94.28581364,4.369878213
159,25.8,20.9,89,82,265.7,19,7.66,29,2.07,121.8226122,4.059853179
154,25.8,20.6,86,81,166,17,8.39,30,1.96,125.0378355,3.956985184
194,26.7,17.7,89,84,280.1,23,7.52,29,2.1,115.7018239,2.15354199
180,27.8,18,91,84,217.8,16,7.98,30,2.08,107.9544462,1.88539071
160,28.4,15.5,89,84,28.72,8,9.36,31,1.96,117.5775377,1.001872209
132,31.1,13.9,90,85,0,0,9.31,31,1.96,131.1443594,0.680294113
109,33.4,13.3,89,87,45.9,4,8.86,30,2,135.7164551,0.662942825
122,34.4,15.9,83,59,43.02,3,8.87,30,1.61,160.6226078,0.667920319
189,32.6,17.1,87,66,194.2,13,7.41,28,1.83,142.250839,0.733072777
236,33.3,18.1,89,72,40.3,3,8.89,30,1.82,158.1484614,0.736621963
197,28.3,18.4,89,86,889.1,25,0.72,18,2.46,83.43602205,1.83932407
171,25.6,18.3,90,90,618.3,27,3.35,22,2.37,90.0021594,3.07145556
124,31.7,19.7,91,90,513.86,28,4.32,23,2.32,116.7079914,1.171545853
147,25.4,19.5,91,81,247.6,20,6.92,27,2.06,109.9727841,3.797796639
209,27.8,18.9,92,91,274.6,17,6.65,27,2.21,111.1057145,2.471294971
208,26.6,17,89,78,115.3,12,8.2,29,1.93,108.1322299,2.21463632
166,26.9,14.3,80,59,0,0,9.33,31,1.56,115.125642,1.219335979
117,29.5,14.1,85,47,0,0,9.32,31,1.47,122.4993093,0.787378738
102,31.3,14.6,78,38,4.22,1,9.26,31,1.3,126.0437316,0.713035047
96,31.8,17,89,54,13.7,3,9.16,31,1.61,149.4299341,0.817601322
128,29.4,18.4,88,62,160.2,20,7.75,28,1.76,130.9305208,1.54154215
181,31,20.2,87,77,67.2,5,8.63,30,1.87,147.9523521,1.502737284
167,26.4,19.6,91,82,326.2,26,6.16,26,2.12,107.4148028,3.228144369
191,26.5,19.5,94,80,265.2,28,6.75,27,2.1,111.3364704,3.065433159
153,25.6,19.6,96,87,502.5,27,4.46,23,2.33,91.87734045,3.523745495
143,26.9,19.4,89,80,215.9,13,7.22,28,2.02,116.321517,2.751019843
239,28.7,18.2,88,75,203.7,16,7.33,28,1.94,121.6300079,1.441061162
215,29.1,17,92,66,103.5,7,8.3,29,1.83,113.3764712,1.011306941
199,29.3,16.5,89,55,28.5,2,9.03,30,1.63,116.7245432,0.923651128
159,30,16.2,85,47,0,0,9.3,31,1.48,124.3313655,0.804032429
120,30.2,18.8,89,51,8.8,1,9.2,31,1.57,120.2928276,1.22668099
134,31.7,19.9,87,59,73.9,4,8.56,30,1.68,145.5733185,1.082862911
169,31.2,21.1,88,56,33.8,4,8.95,30,1.64,146.4300278,1.514181759
165,30.1,21,86,70,164.1,8,7.7,28,1.85,140.1616895,1.827908896
184,25.8,20.1,94,90,1093.9,24,2.25,15,2.68,78.11596905,3.536395749
134,23.7,20,94,89,1203.3,30,2.29,13,2.73,74.41587235,4.425504691
144,26.2,19.5,94,76,373.7,18,5.7,25,2.12,103.9717423,2.944909357
196,26.3,19.9,94,79,248.8,19,6.9,27,2.08,107.7133228,3.128107026
214,27.7,20.3,92,78,144.7,11,7.9,29,1.99,117.7034633,2.61822107
227,28.4,20.5,93,68,14.1,3,9.15,30,1.81,115.5385214,2.426604094
177,28,17.5,92,51,40.8,1,8.91,30,1.63,110.8055193,1.330290744
144,29.5,16.3,93,48,1.1,0,9.29,31,1.58,119.2361738,0.787824762
120,30.5,17.6,93,58,13.7,1,9.16,30,1.7,119.1576576,0.808751039
107,32.7,18.9,81,42,0,0,9.28,31,1.37,155.0701834,0.724005331
150,31.1,20.4,91,65,148.9,11,7.84,29,1.83,136.4642132,1.139464767
263,28.7,20.7,94,74,208.2,8,7.28,28,2,124.8391737,2.193530855
228,26.5,20.7,94,80,436.3,17,5.09,24,2.19,97.41570518,3.372593182
185,24.8,20.5,97,87,1178.7,27,2.06,14,2.73,71.35158775,4.123827255
182,25.4,20.2,98,88,570.7,24,3.8,22,2.41,83.78060572,3.66200788
196,26.9,20.2,96,81,320,19,6.21,26,2.16,102.5998369,2.84924932
241,27.9,20.2,98,76,286.6,16,6.53,27,2.11,103.4876774,2.264878248
211,28.2,20.6,91,69,38.4,3,8.92,30,1.81,114.7043063,2.319384866
191,27.9,19,92,68,90.5,3,8.43,29,1.84,108.3313445,1.667921894
165,28.5,16.4,95,56,0,0,9.31,31,1.7,115.3251579,0.808289033
134,31.4,16.8,90,43,0,0,9.29,31,1.5,123.5248319,0.677074462
148,31.7,19.7,92,56,24.8,2,9.04,30,1.67,145.948143,0.819934983
207,30.2,21.1,92,70,172.2,15,7.62,28,1.91,130.7062006,1.581273903
302,29.5,20.6,92,74,239.8,16,6.97,27,2,127.1700277,1.667921894
248,26.3,20.6,96,83,1075,26,1.07,15,2.62,68.14171045,3.398871877
159,26.2,20.1,95,79,318.2,24,6.23,26,2.12,105.6664788,3.172826152
148,26.6,20.6,92,77,136.9,20,7.98,29,1.98,123.3352022,3.22980468
150,27.4,21.2,95,77,280.3,24,6.59,27,2.09,108.2848329,3.115619186
112,27.7,20.5,95,78,204.2,19,7.32,28,2.05,111.9432185,2.542235239
100,27,20.9,91,73,85.5,16,8.47,29,1.89,108.7091536,3.172826152
116,28.5,18.6,93,61,45,3,8.86,30,1.76,111.1973721,1.278842099
